objid,ra,dec,size,color
1237679433440952840,351.44416617211,-3.61204538629886,166.5407,1.2481
1237663228529869719,246.303899289929,75.6324130355382,7.359879,1.72673
1237654187634459084,173.293042598817,-1.14497874317145,7.360477,0.2218971
1237654187634459088,173.300071782911,-1.03552832546314,11.30826,-0.0702095
1237654187634459097,173.327979032043,-0.993161049725931,11.30826,5.111221
1237666492704424322,327.878512416936,-0.847220536115599,7.360176,0.4248314
1237657584942645865,22.9365933838232,-0.992911581624677,7.359164,1.962486
1237663889954308147,20.781261015024,-1.23105870176087,11.30448,1.381573
1237666300525151157,340.825690761435,-0.0513724435807688,18.01451,1.556923
1237660750333084962,66.2359718461785,22.8335900450716,7.357801,2.234505
1237662695954645584,216.95849880103,31.8896778058193,7.357577,0.002054214
1237662305648181520,201.978396554694,40.4245774162791,5.442984,1.87332
1237661351628636526,165.179641588739,54.6905516433617,11.30645,0.1884422
1237662695954645764,216.84624173204,31.7818237342352,11.30381,0.6050758
1237662695954645770,216.905071531561,31.9177597049733,7.357577,2.276232
1237662695954645784,216.928473325355,31.9539111761022,7.357577,1.384735
1237666209237041964,250.160145354858,28.5028831284286,106.7374,2.137199
1237666209237041965,250.159793220191,28.5046655521708,106.7374,1.846472
1237650004324975382,326.378359465245,-1.13818856535856,7.360235,1.267508
1237650004324975387,326.382265050292,-1.14411320595008,27.92566,1.067724
1237661957218960356,194.278377668758,50.922120830422,7.359869,2.119251
1237661957218960381,194.082605177034,51.0806322022493,258.4108,0.3153915
1237678845030302504,314.229830730786,5.21409668134064,11.30391,1.146734
1237671066844594181,22.2530819310319,38.448935386348,18.01557,3.806978
1237671066844594186,22.243892516287,38.4489873965421,11.30392,0.6957741
1237662305648182009,202.07920532953,40.4986305821169,7.359213,0.198822
1237671930133086612,158.874778660053,7.9705125006439,11.05084,0.4413624
1237671930133086621,158.88082256056,7.94250457206789,7.359358,1.245773
1237671930133086630,158.879514519103,8.0904306485223,7.359358,0.3422012
1237656850502910612,343.947040951885,-0.94737086263653,18.01135,4.74399
1237661351628702027,165.464315783544,54.7298917052235,11.30389,1.226557
1237661351628702046,165.471955321133,54.762111308905,7.357635,1.156076
1237666492704490007,328.009726496887,-1.02883831701014,7.357579,0.6157074
1237662305648182376,202.079338416805,40.3639934767183,7.359213,1.743071
1237669516361401437,344.649499525531,5.95145579145427,7.358909,1.128603
1237667725360365940,82.82856695318,8.47260660706232,7.358163,1.00662
1237679433441149369,351.89237365211,-3.5044062163537,11.30762,0.5374546
1237679433441149371,351.891849281906,-3.63572758520503,5.018755,0.1815033
1237679433441149378,351.893623893418,-3.67947991962404,7.360061,0.8491611
1237679433441149408,351.759413761322,-3.59439225280092,106.7409,1.205294
1237679433441149410,351.762813734769,-3.52786234758966,166.5399,0.7061176
1237679433441149416,351.769526679403,-3.59744112838662,106.7409,1.879616
