id,rowOrder,objid,ra,dec,size,color
Table370,369,1237678845030236212,314.0245,5.127348,2.873663,0.5829601
Table371,370,1237678845030236221,314.0253,5.173757,1.608704,1.520733
Table372,371,1237667205668864079,71.21511,56.8164,1.359206,1.903435
Table373,372,1237680263996112997,350.3825,-7.041004,2.226548,1.278297
Table374,373,1237680263996112998,350.381,-7.041179,1.565378,2.472061
Table375,374,1237680263996113000,350.3836,-7.040415,1.20434,1.433455
Table376,375,1237680263996113001,350.3843,-7.043199,7.357767,2.502802
Table377,376,1237680263996113003,350.3867,-7.046413,1.328425,2.389141
Table378,377,1237680263996113008,350.3957,-6.973213,2.410408,0.826334
Table379,378,1237666209236910230,249.8745,28.67363,1.295849,1.220877
Table380,379,1237666209236910233,249.9048,28.68697,1.450352,0.977787
Table381,380,1237666209236910239,249.8979,28.67468,2.969805,1.909872
Table382,381,1237666209236910240,249.8818,28.69663,1.431782,1.508913
Table383,382,1237666209236910241,249.9038,28.67482,1.420846,1.662655
Table384,383,1237666209236910244,249.855,28.68831,1.710852,1.279116
Table385,384,1237666209236910252,249.8896,28.6789,1.5161,1.378849
Table386,385,1237666492704293017,327.5535,-1.04375,1.498168,1.022514
Table387,386,1237666492704293018,327.5553,-1.04357,11.30469,0.3868446
Table388,387,1237666492704293032,327.5793,-0.8483679,3.816295,1.113653
Table389,388,1237666492704293034,327.5825,-1.031497,5.903783,0.8056908
Table390,389,1237668330950754330,212.0236,14.77921,1.083481,1.109562
Table391,390,1237668330950754335,212.0078,14.6496,2.625221,0.5037727
Table392,391,1237668330950754341,212.0545,14.83274,1.234116,1.224379
Table393,392,1237668330950754343,212.0574,14.82383,2.969648,1.302752
Table394,393,1237668330950754345,212.047,14.82619,0.3916067,1.275799
Table395,394,1237668330950754346,212.0606,14.83129,2.969648,1.792946
Table396,395,1237668330950754347,212.0593,14.8316,0.5890217,0.3495426
Table397,396,1237668330950754349,212.0512,14.82957,2.969648,-0.2007294
Table398,397,1237680263996113046,350.4681,-6.992025,1.32909,1.440588
